"-- Please select --","-- Vui lòng lựa chọn --"
"Allowed Currencies","Đơn vị tiền tệ được phép"
"Base Currency","Tiền tệ cơ sở"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Tiền tệ cơ sở được sử dụng cho tất cả các thanh toán giao dịch trực tiếp. Phạm vi được xác định bởi phạm vi bảng giá cả (""Danh mục"" > ""Giá"" > ""Phạm vi bảng giá"")."
"Can\'t convert rate from ""%s-%s"".","Không thể chuyển đổi giá từ""%s-%s""."
"Cannot retrieve rate from %s.","Không thể truy giá từ %s."
"Connection Timeout in Seconds","Thời gian chờ kết nối trong vài giây"
"Continue &raquo;","Tiếp tục &raquo;"
"Country","Quốc gia"
"Country API","API quốc gia"
"Country and Format Type combination should be unique","Quốc gia và sự kết hợp kiểu định dạng nên là duy nhất"
"Currency","Tiền tệ"
"Currency Options","Tùy chọn tiền tệ"
"Currency Setup","Cài đặt tiền tệ"
"Currency Update Warnings","Cảnh báo cập nhật tiền tệ"
"Default Display Currency","Tiền tệ hiển thị mặc định"
"Directory","Thư mục"
"Display not required State","Hiển thị trạng thái không cần thiết"
"Enabled","Đã mở"
"Error Email Recipient","Lỗi email người nhận"
"Error Email Sender","Lỗi email người gửi"
"Error Email Template","Lỗi email mẫu"
"FATAL ERROR:","LỖI NGHIÊM TRỌNG:"
"Frequency","Tần số"
"Installed Currencies","Đơn vị tiền tệ được cài đặt"
"Invalid Import Service specified.","Dịch vụ nhập xác định không hợp lệ."
"Invalid country code: %s","Mã quốc gia không hợp lệ: %s"
"Invalid rates received","Giá nhận được không hợp lệ"
"Invalid target currency.","Tiền mục tiêu không hợp lệ."
"List of countries","Danh sách các quốc gia"
"List of regions in specified country","Danh sách các vùng trong quốc gia đã xác định"
"Postal Code is Optional for the following countries","Mã bưu chính là tùy chọn cho các nước sau"
"Region","Vùng"
"Region API","API vùng"
"Scheduled Import Settings","Thiết lập nhập dự kiến"
"Select Your Currency","Chọn tiền tệ của bạn"
"Service","Dịch vụ"
"Start Time","Thời gian bắt đầu"
"State is required for","Nhà nước là cần thiết cho"
"State/Province","Tiểu bang/Tỉnh"
"States Options","Tùy chọn bang"
"Strikeiron Email Update Warnings","Strikeiron cập nhật email cảnh báo"
"Unable to initialize the import model.","Không thể khởi tạo các mô hình nhập."
"Undefined rate from ""%s-%s"".","Không xác định giá từ ""%s-%s""."
"WARNING:","CẢNH BÁO:"
"Webservicex","Webservicex"
"Your Currency","Tiền tệ của bạn"
"Your Currency:","Tiền tệ của bạn:"
"Your current currency is: %s","Tiền tệ hiện tại của bạn là: %s"
