"Active","Hoạt động"
"Add Attribute Mapping","Thêm thuộc tính bản đồ"
"Add New Attribute","Thêm thuộc tính mới"
"Add to Google Base","Thêm vào Google Base"
"Are you sure?","Bạn chắc chắn?"
"Attribute","Thuộc tính"
"Attribute Set","Thiết lập thuộc tính"
"Attribute Set and Item Type","Tập thuộc tính và loại mục"
"Attributes","Thuộc tính"
"Attributes Mapping","Thuộc tính bản đồ"
"Attributes Set","Tập thuộc tính"
"AuthSub","AuthSub"
"Available Products","Sản phẩm hiện có"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Tiền tệ cơ sở nên được thiết lập để %s cho %s trong cấu hình hệ thống. Mặt khác mục giá sẽ không được chính xác trong cơ sở Google."
"Cannot update Google Base Item for Store '%s'","Không thể cập nhật mục Google Base cho cửa hàng '%s'"
"Captcha confirmation error: %s","Lỗi xác nhận mã xác nhận: %s"
"Captcha has been confirmed.","Mã xác nhận đã được xác nhận."
"Catalog","Danh mục"
"Clicks","Nhấp chuột"
"ClientLogin","ClientLogin"
"Confirm","Xác nhận"
"Current Mapping will be reloaded. Continue?","Bản đồ hiện tại sẽ được tải lại. Tiếp tục?"
"Custom attribute, no mapping","Tùy chỉnh thuộc tính, không có bản đồ"
"Delete","Xóa"
"Delete Mapping","Xóa bản đồ"
"Edit Item Type","Chỉnh sửa loại mục"
"Edit Item Type ""%s""","Chỉnh sửa loại mục ""%s"""
"Error: %s","Lỗi: %s"
"Expires","Hết hạn"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Thuộc tính Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Loại mục Google Base"
"Google Base Item type","Loại mục Google Base"
"Google Base Items","Mục Google Base"
"Google base","Cơ sở Google"
"Hide","Ẩn giấu"
"Hosted","Tổ chức"
"Hosted or Google","Tổ chức hoặc Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Mẫu sản phẩm không hợp lệ cho mục Google Base"
"Item Type was deleted","Kiểu mặt hàng đã bị xóa"
"Item Types","Các loại mặt hàng"
"Item model is not specified to delete Google Base entry.","Mẫu hàng không được chỉ định để xóa mục Google Base."
"Items","Mặt hàng"
"Manage Attribute Mapping","Quản lý thuộc tính bản đồ"
"Manage Attributes","Quản lý thuộc tính"
"Manage Items","Quản lý các mặt hàng"
"New Item Type","Loại mặt hàng mới"
"New ItemType","Loại mặt hàng mới"
"No","Không"
"No items were deleted from Google Base","Không có mục nào được xóa từ Google Base"
"No items were published","Không có mục nào được công bố"
"No items were saved as inactive items","Không có mục nào được lưu thành mục không hoạt động"
"No products were added to Google Base","Không có sản phẩm nào được thêm vào Google Base"
"Object model is not specified to save Google Base entry.","Mẫu đối tượng không được chỉ định để lưu mục Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Vui lòng chọn tập thuộc tính và loại mục Google để tải thuộc tính"
"Product Name","Tên sản phẩm"
"Publish","Công bố"
"Published","Đã công bố"
"Remove","Gỡ bỏ"
"Save Mapping","Lưu bản đồ"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Phiên đã hết hạn khi xuất ra. Vui lòng xem lại các sản phẫm đã xuất và lặp lại quá trình nếu cần thiết."
"Synchronize","Đồng bộ hóa"
"Target Country","Quốc gia mục tiêu"
"The item type has been saved.","Các loại mục đã được lưu lại."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Hành động này sẽ cập nhật thống kê mặt hàng và gỡ bỏ các mục không có sẵn trong Google Base?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Tổng số %d các mục đã bị xóa; tổng số %d mục được cập nhật."
"Total of %d items(s) have been published.","Tổng số %d mục được công bố ."
"Total of %d items(s) have been removed from Google Base.","Tổng số %d mục được gỡ bỏ khỏi Google Base."
"Total of %d items(s) have been saved as inactive items.","Tổng số %d mục đã được lưu thành mục không hoạt động."
"Total of %d product(s) have been added to Google Base.","Tổng số %d sản phẩm được thêm vào Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Không thể kết nối với Google Base. Vui lòng kiểm tra các thiết lập tài khoản trong cấu hình."
"Unable to select a Store View.","Không thể chọn một cửa hàng xem."
"View Available Products","Xem sản phẩm hiện có"
"View Item in Google Base","Xem mục trong Google Base"
"Yes","Có"
