" Copy"," Sao chép"
"Action","Hành động"
"Add New Template","Thêm mẫu mới"
"Add to Queue","Thêm vào hàng đợi"
"Allow Guest Subscription","Cho phép thuê bao khách"
"An error occurred while saving your subscription.","Có lỗi xảy ra trong khi lưu thuê bao của bạn."
"Are you sure that you want to delete this template?","Bạn có chắc chắn muốn xóa mẫu này?"
"Are you sure that you want to strip all tags?","Bạn có chắc chắn muốn gỡ bỏ tất cả các thẻ?"
"Back","Trở lại"
"Cancel","Hủy"
"Cancelled","Đã hủy"
"Cannot mark as received subscriber.","Không thể đánh dấu thuê bao nhận được."
"Confirmation Email Sender","Xác nhận email của người gửi"
"Confirmation Email Template","Xác nhận email mẫu"
"Confirmation request has been sent.","Yêu cầu xác nhận đã được gửi đi."
"Convert to Plain Text","Chuyển đổi văn bản đơn giản"
"Create Newsletter Template","Tạo bản tin mẫu"
"Customer","Khách hàng"
"Customer First Name","Họ khách hàng"
"Customer Last Name","Tên khách hàng"
"Customer Middle Name","Tên đệm khách hàng"
"Customer My Account Newsletter Subscriptions","Khách hàng đăng ký nhận bản tin tài khoản của tôi"
"Date Added","Ngày thêm"
"Date Updated","Ngày cập nhật"
"Delete","Xóa"
"Delete Selected Problems","Xóa vấn đề đã chọn"
"Delete Template","Xóa mẫu"
"Do you really want to cancel the queue?","Bạn thật sự muốn hủy bỏ hàng đợi?"
"Duplicate template code.","Nhân đôi mã bản mẫu."
"Edit Newsletter","Chỉnh sửa bản tin"
"Edit Newsletter Template","Chỉnh sửa mẫu bản tin"
"Edit Queue","Chỉnh sửa hàng đợi"
"Edit Template","Chỉnh sửa bản mẫu"
"Email","Email"
"Enter your email address","Nhập địa chỉ email của bạn"
"Error Code","Mã lỗi"
"Error Text","Lỗi văn bản"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Theo liên kết này để bỏ đăng ký <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Khách"
"ID","ID"
"Invalid queue selected.","Hàng đợi được chọn không hợp lệ."
"Invalid subscription ID.","ID đăng ký không hợp lệ."
"Invalid subscription confirmation code.","Mã xác nhận đăng ký không hợp lệ."
"Message","Tin nhắn"
"Need to Confirm","Cần xác nhận"
"New Newsletter Template","Mẫu bản tin mới"
"New Template","Bản mẫu mới"
"Newsletter","Bản tin"
"Newsletter Message Preview","Xem trước thông điệp bản tin"
"Newsletter Problem Reports","Bản tin báo cáo vấn đề"
"Newsletter Queue","Hàng đợi bản tin"
"Newsletter Section","Mục bản tin"
"Newsletter Sign-up:","Ghi tên bản tin:"
"Newsletter Styles","Kiểu dáng bản tin"
"Newsletter Subscribers","Người đăng ký bản tin"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletter Subscription Form Before","Mẫu đăng ký nhận bản tin trước khi"
"Newsletter Subscriptions","Đăng ký nhận bản tin"
"Newsletter Templates","Các mẫu bản tin"
"Newsletter subscription confirmation","Bản tin xác nhận đăng ký"
"Newsletter subscription success","Thành công đăng ký nhận bản tin"
"Newsletter unsubscription success","Thành công hủy đăng ký nhận bản tin"
"No Templates Found","Không mẫu nào được tìm thấy"
"No problems found.","Không có sự cố."
"No subscribers selected.","Không thuê bao nào được chọn."
"Not Activated","Không hoạt động"
"Not Sent","Không gửi được"
"Pause","Tạm dừng"
"Paused","Tạm dừng"
"Please enter a valid email address.","Vui lòng nhập một địa chỉ email hợp lệ."
"Please enter new template name","Vui lòng nhập tên mẫu mới"
"Please refer to exeption.log","Vui lòng tham khảo exeption.log"
"Please select subscriber(s)","Vui lòng chọn thuê bao"
"Preview","Xem trước"
"Preview Template","Mẫu xem trước"
"Processed","Xử lý"
"Queue Date Start","Ngày bắt đầu hàng chờ"
"Queue Finish","Kết thúc hàng chờ"
"Queue Information","Thông tin hàng chờ"
"Queue Newsletter...","Bản tin hàng đợi..."
"Queue Start","Hàng chờ bắt đầu"
"Queue Subject","Chủ đề hàng đợi"
"Recipients","Người nhận"
"Reset","Thiết lập lại"
"Resume","Tiếp tục"
"Return HTML Version","Trở về phiên bản HTML"
"Save As","Lưu dưới dạng"
"Save Newsletter","Lưu bản tin"
"Save Template","Lưu mẫu"
"Save and Resume","Lưu và tiếp tục"
"Selected problem subscribers have been unsubscribed.","Vấn đề thuê bao đã chọn hủy đăng ký."
"Selected problems have been deleted.","Vấn đề được lựa chọn đã bị xóa."
"Sender","Người gửi"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Sending","Đang gửi"
"Sent","Đã gửi"
"Sign Up for Our Newsletter:","Đăng ký nhận bản tin của chúng tôi:"
"Sign up for our newsletter","Đăng ký nhận bản tin của chúng tôi"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Rất tiếc, nhưng người quản trị đã từ chối đăng ký cho khách. Vui lòng <a href=""%s"">đăng ký</a>."
"Start","Bắt đầu"
"Status","Trạng thái"
"Store","Cửa hàng"
"Store View","Cửa hàng xem"
"Subject","Chủ đề"
"Submit","Đăng lên"
"Subscribe","Theo dõi"
"Subscribed","Đăng ký"
"Subscriber","Người đăng ký"
"Subscribers","Thuê bao"
"Subscribers From","Thuê bao từ"
"Subscription Options","Tùy chọn đăng ký"
"Success Email Sender","Thành công email người gửi"
"Success Email Template","Thành công email mẫu"
"Template Content","Mẫu nội dung"
"Template Information","Mẫu thông tin"
"Template Name","Tên mẫu"
"Template Styles","Kiểu bản mẫu"
"Template Subject","Mẫu chủ đề"
"Template Type","Loại bản mẫu"
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký."
"The subscription has been removed.","Các đăng ký đã được gỡ bỏ."
"The subscription has been saved.","Các thue bao đã được lưu lại."
"There was a problem with the subscription.","Có một vấn đề với các thuê bao."
"There was a problem with the subscription: %s","Có một vấn đề với các thuê bao: %s"
"There was a problem with the un-subscription.","Có một vấn đề với việc bỏ đăng ký."
"This email address is already assigned to another user.","Địa chỉ email này đã được gán cho một người dùng khác."
"Type","Loại"
"Unconfirmed","Chưa được xác nhận"
"Unsubscribe","Hủy đăng ký"
"Unsubscribe Selected","Hủy đăng ký chọn"
"Unsubscribed","Bỏ đăng ký"
"Unsubscription Email Sender","Hủy đăng ký email người gửi"
"Unsubscription Email Template","Hủy đăng ký email mẫu"
"View Newsletter","Xem bản tin"
"Website","Trang web"
"You have been unsubscribed.","Bạn đã hủy đăng ký."
"Your subscription has been confirmed.","Thuê bao của bạn đã được xác nhận."
