"3D Secure","3D Secure"
"3D Secure Card Validation","Thẻ xác nhận 3D Secure"
"API Login ID","ID đăng nhập API"
"Accepted Currency","Tiền tệ được chấp nhận"
"Allow Partial Authorization","Cho phép ủy quyền từng phần"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Bạn có chắc chắn muốn hủy thanh toán? Nhấp OK để hủy bỏ thanh toán và giải phóng số lượng bị giữ lại. Nhấp Hủy để nhập một thẻ tín dụng và tiếp tục thanh toán."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và nắm bắt"
"Authorize.Net Transaction ID %s","ID giao dịch Authorize.Net %s"
"Authorize.net","Authorize.net"
"Cancel","Hủy"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Loại thẻ tín dụng"
"Credit Card Verification","Xác minh thẻ tín dụng"
"Credit Card: xxxx-%s","Thẻ tín dụng: xxxx-%s"
"Debug","Gỡ lỗi"
"Email Customer","Email khách hàng"
"Enabled","Đã bật"
"Error in payment gateway.","Lỗi ở cổng thanh toán."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Hoạt động cổng đã bị khóa vì các cổng không thể hoàn thành một hoặc nhiều giao dịch. Vui lòng đăng nhập vào tài khoản Authorize.Net của bạn để giải quyết vấn đề."
"Gateway error: %s","Lỗi cổng: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu trống, một giá trị mặc định sẽ được sử dụng. URL tùy chỉnh có thể được cấp bởi thỏa thuận CardinalCommerce."
"Invalid amount for authorization.","Số lượng không hợp lệ cho cấp phép."
"Invalid amount for capture.","Số lượng không hợp lệ cho nắm bắt."
"Invalid amount for partial authorization.","Số lượng không hợp lệ cho ủy quyền từng phần."
"Invalid amount for refund.","Số lượng không hợp lệ cho hoàn trả."
"Invalid split tenderId ID.","ID tenderId chia không hợp lệ."
"Maximum Order Total","Tổng số đơn hàng tối đa"
"Merchant's Email","Email của thương nhân"
"Minimum Order Total","Tổng số đơn hàng tối thiểu"
"New Order Status","Trạng thái đơn hàng mới"
"Parent Authorize.Net transaction (ID %s) expired","Giao dịch Authorize.Net cha (ID %s) hết hạn"
"Payment Action","Hành động thanh toán"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment canceling error.","Lỗi hủy bỏ thanh toán."
"Payment capturing error.","Lỗi bắt hình thanh toán."
"Payment from Applicable Countries","Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh toán từ các nước cụ thể"
"Payment partial authorization error.","Lỗi ủy quyền từng phần thanh toán."
"Payment refunding error.","Lỗi hoàn trả thanh toán."
"Payment updating error.","Lỗi cập nhật thanh toán."
"Payment voiding error.","Lỗi không có giá trị thanh toán."
"Processed Amount","Số lượng xử lý"
"Remaining Balance","Số dư còn lại"
"Severe 3D Secure Card Validation","Thẻ xác nhận 3D Secure nghiêm ngặt"
"Severe Validation Removes Chargeback Liability on Merchant","Xác nhận nghiêm ngặt loại bỏ trách nhiệm bồi hoàn trong thương nghiệp"
"Shopping cart contents and/or address has been changed.","Nội dung giỏ mua sắm và/hoặc địa chỉ đã được thay đổi."
"Sort Order","Sắp xếp thứ tự"
"Test Mode","Chế độ kiểm tra"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Số tiền trong thẻ tín dụng của bạn là không đủ để hoàn tất việc mua. Số lượng có sẵn đã được đưa vào giữ lại. Để hoàn tất việc mua của bạn nhập OK và xác định thêm số thẻ tín dụng. Để hủy bỏ việc mua và giải phóng số lượng giữ lại, nhấn Hủy."
"There was an error canceling transactions. Please contact us or try again later.","Có lỗi khi hủy giao dịch. Vui lòng liên hệ chúng tôi hoặc thử lại sau."
"Title","Tiêu đề"
"Transaction Key","Chìa khóa giao dịch"
"You have reached the maximum number of credit card allowed to be used for the payment.","Bạn đã đạt đến số lượng tối đa của thẻ tín dụng được phép sử dụng cho các thanh toán."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Bạn đã đạt đến số lượng tối đa của thẻ tín dụng có thể sử dụng cho một lần thanh toán. Số tiền có sẵn trong các thẻ là không đủ để hoàn thành thanh toán. Thanh toán đã hủy và số lượng tạm giữ được giải phóng."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Thẻ tín dụng của bạn đã bị từ chối. Nhấn OK xác định một thẻ tín dụng để hoàn tất mua. Nhấp vào Hủy để giải phóng lượng tạm giữ và lựa chọn phương thức thanh toán khác."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Đơn hàng của bạn không được đặt, vì nội dung của giỏ mua sắm và/hoặc địa chỉ đã bị thay đổi. Khoản được ủy quyền từ thanh toán trước đó còn sót lại đang chờ giải phóng. Hãy thông qua các quy trình kiểm tra cho nội dung giỏ hàng gần đây của bạn."
"Your payment has been cancelled. All authorized amounts have been released.","Thanh toán của bạn đã bị hủy. Tất cả số lượng ủy quyền đã được giải phóng."
"amount %s","số lượng %s"
"authorize","ủy quyền"
"authorize and capture","ủy quyền và nắm bắt"
"capture","bắt"
"failed","thất bại"
"refund","hoàn trả"
"successful","thành công"
"void","vô hiệu"
