"Actions","Hành động"
"Add Answer","Thêm câu trả lời"
"Add New Answer","Thêm câu trả lời mới"
"Add New Poll","Thêm bình chọn mới"
"Answer Title","Tiêu đề câu trả lời"
"Answer Title:","Tiêu đề câu trả lời:"
"Answer with the same title in this poll","Trả lời với cùng nhan đề trong bình chọn này"
"Are you sure you want to delete it?","Bạn có chắc chắn muốn xóa nó?"
"Assigned Answers","Câu trả lời được giao"
"Closed","Đóng"
"Community Poll","Thăm dò ý kiến cộng đồng"
"Date Closed","Ngày đóng cửa"
"Date Posted","Ngày đăng"
"Delete","Xóa"
"Delete Answer","Xóa câu trả lời"
"Delete Poll","Xóa bình chọn"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Không cho phép bỏ phiếu nhiều lần trong cuộc bình chọn từ cùng một địa chỉ IP"
"Edit Answer '%s'","Chỉnh sửa câu trả lời '%s'"
"Edit Poll '%s'","Chỉnh sửa bình chọn '%s'"
"Edit Poll Answer","Sửa câu trả lời bình chọn"
"ID","ID"
"Invalid Answer.","Câu trả lời không hợp lệ."
"New Poll","Bình chọn mới"
"Number of Responses","Số phản hồi"
"Open","Mở"
"Poll Answers","Câu trả lời bình chọn"
"Poll Information","Thông tin bình chọn"
"Poll Manager","Quản lý cuộc bình chọn"
"Poll Question","Câu hỏi bình chọn"
"Poll information","Thông tin bình chọn"
"Poll with the same question","Bình chọn với cùng câu hỏi"
"Polls","Bình chọn"
"Save Answer","Lưu câu trả lời"
"Save Poll","Lưu bình chọn"
"Status","Trạng thái"
"The answer has been saved.","Câu trả lời đã được lưu."
"The poll does not exist.","Bình chọn không tồn tại."
"Unable to find an answer to delete.","Không thể tìm thấy câu trả lời để xóa."
"Visible In","Có thể thấy trong"
"Vote","Bỏ phiếu"
"Votes Count","Đếm phiếu"
"Votes Count:","Đếm phiếu:"
