"Alert Email Sender","Cảnh báo người gửi email"
"Alert subscription has been saved.","Cảnh báo thuê bao đã được lưu."
"Allow Alert When Product Comes Back in Stock","Cho phép cảnh báo khi sản phẩm quay lại trong kho"
"Allow Alert When Product Price Changes","Cho phép cảnh báo khi thay đổi giá sản phẩm"
"Click here not to receive alerts for this product","Nhấp vào đây không phải để nhận thông báo cho sản phẩm này"
"Error Email Recipient","Lỗi email người nhận"
"Error Email Sender","Lỗi email người gửi"
"Error Email Template","Lỗi email mẫu"
"Frequency","Tần số"
"Not enough parameters.","Không đủ thông số."
"Price Alert Email Template","Mẫu email báo giá"
"Price:","Giá:"
"Product Alerts","Các thông báo sản phẩm"
"Product Alerts Run Settings","Cài đặt chạy thông báo sản phẩm"
"Product alerts Cron error","Sản phẩm thông báo lỗi Cron"
"Product price alert","Báo giá sản phẩm"
"Product stock alert","Cảnh báo kho sản phẩm"
"Regular Price:","Giá thông thường:"
"Sign up for price alert","Đăng ký nhận báo giá"
"Sign up to get notified when this product is back in stock","Đăng ký để nhận thông báo khi sản phẩm này trở lại trong kho"
"Special price:","Giá đặc biệt:"
"Start Time","Thời gian bắt đầu"
"Stock Alert Email Template","Mẫu email cảnh báo kho"
"The alert subscription has been deleted.","Các thuê bao cảnh báo đã bị xóa."
"The alert subscription has been saved.","Các thuê bao cảnh báo đã được lưu."
"The product is not found.","Sản phẩm không được tìm thấy."
"The product was not found.","Sản phẩm đã không được tìm thấy."
"Unable to update the alert subscription.","Không thể cập nhật các thuê bao cảnh báo."
"Unsubscribe from all price alerts","Hủy đăng ký từ tất cả các báo giá"
"Unsubscribe from all stock alerts","Hủy đăng ký từ tất cả các cảnh báo kho hàng"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi các sản phẩm sau đây đang trở lại trong kho:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi giá cho các sản phẩm sau đây thay đổi:"
"You will no longer receive price alerts for this product.","Bạn sẽ không còn nhận được báo giá cho sản phẩm này."
"You will no longer receive stock alerts for this product.","Bạn sẽ không còn nhận được cảnh báo kho cho sản phẩm này."
"You will no longer receive stock alerts.","Bạn sẽ không còn nhận được các cảnh báo kho hàng."
