"%d Review(s)","%d Nhận xét"
"%s Review(s)","%s Nhận xét"
"(Posted on %s)","(Đăng trên %s)"
"1 star","1 sao"
"2 star","2 sao"
"2 stars","2 sao"
"3 star","3 sao"
"3 stars","3 sao"
"4 star","4 sao"
"4 stars","4 sao"
"5 star","5 sao"
"5 stars","5 sao"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Thêm nhận xét mới"
"Add Your Review","Thêm nhận xét của bạn"
"Administrator","Người quản lý"
"All Reviews","Tất cả nhận xét"
"All Reviews of Customer `%s`","Tất cả nhận xét của khách hàng `%s`"
"All Reviews of Product `%s`","Tất cả các ý kiến của sản phẩm `%s`"
"Allow Guests to Write Reviews","Cho phép khách viết ý kiến"
"Approved","Thừa nhận"
"Are you sure you want to do this?","Bạn có chắc chắn muốn làm điều này"
"Are you sure?","Bạn có chắc?"
"Average Customer Rating","Bình quân đánh giá của khách hàng"
"Average Customer Rating:","Bình quân đánh giá của khách hàng:"
"Back","Quay lại"
"Back to Main Product Info","Trở lại với thông tin sản phẩm chính"
"Back to My Reviews","Trở lại đánh giá của tôi"
"Back to Product Reviews","Trở lại đánh giá sản phẩm"
"Be the first to review this product","Hãy là người đầu tiên nhận xét sản phẩm này"
"Catalog Product Review View","Danh mục xem nhận xét sản phẩm"
"Catalog Product Reviews List","Danh mục liệt kê nhận xét sản phẩm"
"Created On","Được tạo ra"
"Customer","Khách hàng"
"Customer My Account Product Reviews","Khách hàng Các nhận xét sản phẩm tài khoản của tôi"
"Customer My Account Review Details","Khách hàng Các chi tiết đánh giá nơi tài khoản của tôi"
"Customer Reviews","Phản hồi của khách hàng"
"Customers Reviews","Phản hồi của khách hàng"
"Delete","Xóa"
"Delete Review","Xóa nhận xét"
"Detailed Rating","Chi tiết đánh giá"
"Edit Review '%s'","Chỉnh sửa ý kiến '%s'"
"Guest","Guest"
"How do you rate this product?","Bạn đánh giá sản phẩm này như thế nào?"
"ID","ID"
"Let us know your thoughts","Cho chúng tôi biết suy nghĩ của bạn"
"Manage Ratings","Quản lý xếp hạng"
"My Product Reviews","Nhận xét sản phẩm của tôi"
"My Recent Reviews","Nhận xét gần đây của tôi"
"Name","Tên"
"Name in Store","Tên ở cửa hàng"
"New Review","Nhận xét mới"
"Nickname","Biệt danh"
"Nickname can\'t be empty","Biệt danh không thể bỏ trống"
"Not Approved","Không chấp thuận"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Chỉ người dùng đã đăng ký có thể viết nhận xét. Vui lòng, <a href=""%s"">Đăng nhập</a> hoặc <a href=""%s"">đăng ký</a>"
"Pending","Chờ giải quyết"
"Pending Reviews","Nhận xét chờ giải quyết"
"Pending Reviews of Customer `%s`","Ý kiến của khách hàng chờ giải quyết `%s`"
"Please select a product","Vui lòng chọn một sản phẩm"
"Please select one of each of the ratings above","Vui lòng chọn một trong mỗi đánh giá ở trên"
"Posted By","Đăng bởi"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Rating","Đánh giá sản phẩm"
"Product Rating:","Đánh giá sản phẩm:"
"Product Review (submitted on %s):","Nhận xét sản phẩm (đăng lên %s):"
"Product Reviews","Nhận xét sản phẩm"
"Product SKU","SKU sản phẩm"
"Products Reviews","Nhận xét sản phẩm"
"Qty","Số lượng"
"Rating:","Đánh giá:"
"Review","Nhận xét"
"Review (submitted on %s):","Nhận xét (Đăng lên %s):"
"Review Details","Chi tiết đánh giá"
"Review Form Fields Before","Xem lại các mục trước khi"
"Review by %s","Nhận xét bởi %s"
"Review by <span>%s</span>","Nhận xét bởi <span>%s</span>"
"Review can\'t be empty","Nhận xét không thể bỏ trống"
"Review summary can\'t be empty","Tóm tắt đánh giá không thể trống"
"Reviews","Nhận xét"
"Reviews and Ratings","Nhận xét và đánh giá"
"SKU","SKU"
"Save Review","Lưu nhận xét"
"Status","Tình trạng"
"Submit Review","Đăng nhận xét"
"Summary Rating","Tóm tắt đánh giá"
"Summary of Review","Tóm tắt nhận xét"
"Summary of Your Review","Tóm tắt nhận xét của bạn"
"Title","Tiêu đề"
"Type","Loại"
"Unable to post the review.","Không thể gửi nhận xét."
"Update Status","Cập nhật trạng thái"
"View All Reviews","Xem tất cả các nhận xét"
"View Details","Xem chi tiết"
"Visible In","Hiển thị trong"
"Websites","Trang web"
"What's your nickname?","Biệt danh của bạn là gì?"
"Write Your Own Review","Viết nhận xét của bạn"
"You have submitted no reviews.","Bạn đã gửi không nhận xét."
"You're reviewing:","Bạn đang nhận xét:"
"Your Rating:","Đánh giá của bạn:"
"Your Review (submitted on %s):","Nhận xét của bạn (đăng trên %s):"
"Your review has been accepted for moderation.","Nhận xét của bạn được chấp nhận cho kiểm duyệt."
